@RELATION SVMa
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {door,horn,moto}

@DATA
0.255974,0.003062,3.078079,0.298845,0.218382,1.309963,0.003542,0.260269,-32.738001,1.700504,0.086781,0.036027,0.079537,-0.029570,-0.055245,-0.113264,-0.082108,-0.052324,-0.049326,0.017103,-0.089872,0.011139,0.002526,0.037583,0.010443,0.019022,0.012061,0.037682,0.001351,0.003682,0.012560,0.016807,0.003278,0.018130,0.111993,0.005860,0.207541,0.083130,0.025327,0.360237,0.002089,0.080566,3.218651,0.508929,0.272572,0.189098,0.189395,0.141138,0.164207,0.175243,0.157824,0.149584,0.130702,0.131303,0.104200,0.009556,0.001697,0.025830,0.008794,0.013106,0.011165,0.030283,0.000980,0.002834,0.010697,0.010383,0.002807,0.008615,door
0.042061,0.006030,3.019438,0.118501,0.164210,0.282809,0.005949,0.039427,-27.073342,2.331272,0.164034,0.568963,0.451530,-0.132019,-0.100075,-0.010262,0.065717,-0.123301,-0.290922,0.090689,0.028731,0.044472,0.023009,0.041701,0.008360,0.015855,0.010332,0.048324,0.001082,0.005252,0.017201,0.041444,0.004765,0.027142,0.021162,0.006096,0.247930,0.052740,0.036829,0.174705,0.002716,0.014897,2.489995,0.353278,0.232945,0.213358,0.220698,0.198869,0.141605,0.144331,0.140955,0.193124,0.187373,0.161368,0.138241,0.036003,0.013621,0.021692,0.006302,0.014213,0.008578,0.024612,0.000992,0.003922,0.012187,0.024501,0.004623,0.009070,door
0.044419,0.012756,3.003623,0.122021,0.178928,0.203383,0.006208,0.024909,-26.238335,2.799073,0.385989,0.719378,0.319148,0.030909,-0.010387,-0.040354,0.003920,-0.049536,-0.203223,-0.127419,0.044515,0.055133,0.001550,0.047558,0.011711,0.023361,0.010272,0.066784,0.000787,0.004680,0.018062,0.037107,0.002375,0.032638,0.019395,0.007176,0.182135,0.016373,0.020760,0.097644,0.002081,0.015568,1.039749,0.315393,0.219984,0.192038,0.165996,0.146420,0.160468,0.155696,0.158351,0.135231,0.201555,0.144662,0.148644,0.046734,0.001418,0.029530,0.010164,0.011583,0.008300,0.026491,0.000831,0.004752,0.013192,0.019503,0.002174,0.009165,door
0.040384,0.006200,3.052043,0.112754,0.155868,0.273080,0.005971,0.040641,-26.707195,2.342925,0.188668,0.561463,0.445845,-0.160806,-0.118365,0.001474,0.062403,-0.107573,-0.280969,0.073396,0.010538,0.046642,0.022654,0.040294,0.009897,0.015684,0.008650,0.049650,0.001214,0.005239,0.017512,0.040988,0.004797,0.027551,0.016987,0.005819,0.177219,0.045580,0.022354,0.154233,0.002257,0.015575,2.290603,0.281150,0.223681,0.209999,0.220097,0.200087,0.154247,0.147353,0.155779,0.178810,0.199274,0.173305,0.149186,0.034635,0.014246,0.021769,0.007940,0.014063,0.006917,0.029317,0.001188,0.004148,0.013512,0.020377,0.005947,0.008789,door
0.077632,0.005391,2.973376,0.153128,0.171190,0.730038,0.007021,0.110587,-27.565454,1.177484,0.353885,0.265554,0.116682,0.195448,-0.123228,-0.019269,-0.030124,0.241526,0.056243,-0.160106,-0.049674,0.026431,0.002289,0.060235,0.003990,0.010807,0.003144,0.144483,0.001587,0.004818,0.007544,0.019002,0.002348,0.045926,0.034444,0.007855,0.369823,0.029797,0.020856,0.397366,0.007233,0.068382,1.293179,0.589253,0.409701,0.255161,0.165298,0.187001,0.193482,0.179275,0.208226,0.201245,0.184931,0.149457,0.152383,0.040403,0.002241,0.037906,0.003496,0.007249,0.003093,0.099770,0.001581,0.004520,0.005349,0.013352,0.002397,0.025608,door
0.028743,0.021726,2.795531,0.118313,0.179104,0.219612,0.016422,0.018739,-28.635809,1.659943,0.601080,0.474087,0.522497,0.018872,0.095954,0.050345,0.005913,0.068422,0.019802,0.035624,0.072377,0.034947,0.000320,0.067186,0.001622,0.012969,0.000958,0.224166,0.000292,0.001418,0.002001,0.045406,0.000570,0.069950,0.013003,0.025142,0.424432,0.018691,0.021229,0.142808,0.009907,0.025853,1.418789,0.486576,0.397284,0.245226,0.184554,0.233010,0.160727,0.165381,0.120072,0.146857,0.138849,0.116117,0.155323,0.027438,0.000251,0.049124,0.001223,0.011100,0.000717,0.096422,0.000209,0.002133,0.000972,0.044975,0.000307,0.016966,door
0.179927,0.003771,3.079228,0.236940,0.194093,1.367487,0.002908,0.310254,-29.548504,1.801472,0.220819,0.019492,0.088848,-0.034709,-0.047746,-0.093333,-0.085528,-0.075022,-0.056701,0.021878,-0.114978,0.014947,0.002419,0.027943,0.012698,0.022808,0.011379,0.026493,0.001338,0.004033,0.018191,0.015736,0.003612,0.014091,0.049273,0.006066,0.218818,0.031272,0.017089,0.308999,0.001790,0.066285,1.308970,0.483560,0.300243,0.216892,0.208875,0.136367,0.173649,0.186670,0.190145,0.157641,0.140517,0.142538,0.134079,0.012254,0.002046,0.013683,0.009650,0.013579,0.010240,0.015940,0.000995,0.003185,0.011771,0.009116,0.003060,0.005058,door
0.128252,0.037755,3.181813,0.181956,0.180065,0.894569,0.002544,0.194616,-28.501740,-0.145714,-1.092297,-0.159131,-0.494091,-0.174256,0.275488,0.456638,0.355458,-0.189759,-0.281120,-0.052371,0.140572,0.003366,0.001023,0.013105,0.024532,0.006425,0.001998,0.008295,0.000805,0.001151,0.002356,0.004694,0.043966,0.015984,0.077672,0.022202,0.189744,0.079130,0.048671,0.699678,0.002858,0.157147,4.299665,0.728611,0.870750,0.372225,0.300078,0.245104,0.282227,0.282310,0.228758,0.214300,0.267836,0.141057,0.129928,0.003590,0.000762,0.014481,0.010722,0.009243,0.001485,0.008602,0.000684,0.000812,0.002240,0.006931,0.021188,0.004963,horn
0.059383,0.023441,3.129591,0.124440,0.165712,0.286352,0.005251,0.083521,-26.062077,0.709067,-0.967312,-0.518023,-0.800038,-0.133402,0.295875,0.996145,-0.156387,-0.040497,-0.337180,-0.101261,0.241168,0.017245,0.010415,0.011685,0.017494,0.019015,0.001948,0.012402,0.001239,0.000989,0.003354,0.011268,0.011283,0.011900,0.008698,0.006714,0.271049,0.024631,0.032624,0.062933,0.005161,0.014090,1.648605,0.596915,0.452257,0.325887,0.272922,0.202123,0.252118,0.258632,0.207237,0.172790,0.202123,0.130786,0.122276,0.007077,0.004540,0.014613,0.007936,0.013359,0.001469,0.005246,0.000391,0.001451,0.003187,0.009331,0.011134,0.005494,horn
0.072822,0.069587,3.108514,0.135842,0.163141,0.488511,0.002694,0.096219,-25.721262,-0.291411,-1.464609,-0.481413,-0.773314,-0.485665,0.256586,0.543020,0.530030,-0.175547,-0.423235,-0.151844,0.134983,0.004706,0.002442,0.005588,0.033097,0.005119,0.001644,0.004352,0.000850,0.001493,0.006263,0.002098,0.050817,0.016921,0.015232,0.029821,0.368381,0.019742,0.021964,0.082040,0.002074,0.012844,1.541088,0.517829,0.480390,0.235407,0.188039,0.198659,0.161870,0.223740,0.125033,0.122060,0.162877,0.103684,0.088253,0.005325,0.003479,0.001915,0.004726,0.008157,0.001528,0.004076,0.001654,0.002170,0.003372,0.002496,0.015023,0.002405,horn
