@RELATION abc
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {door,horn,moto}

@DATA
0.230669,0.003370,3.082501,0.276846,0.210023,1.260949,0.004017,0.260548,-31.813115,1.779473,0.136518,0.058303,0.092295,-0.032463,-0.066945,-0.113854,-0.095366,-0.058828,-0.058632,0.013401,-0.115400,0.011969,0.002494,0.036691,0.011607,0.020211,0.012574,0.033025,0.001362,0.003815,0.014812,0.018741,0.003230,0.017864,0.155261,0.009101,0.241142,0.122489,0.037496,0.496324,0.003062,0.109848,5.255468,0.585285,0.362929,0.222356,0.209774,0.149388,0.216595,0.185755,0.173676,0.160760,0.140018,0.136744,0.141772,0.011235,0.002068,0.026546,0.011406,0.016721,0.012945,0.033265,0.001069,0.003249,0.014895,0.012898,0.002859,0.008697,door
0.041533,0.005143,2.968935,0.118388,0.168203,0.262173,0.006149,0.035146,-27.790450,2.404058,0.211308,0.595656,0.462188,-0.087276,-0.069362,-0.010181,0.090122,-0.117205,-0.258677,0.106746,0.073209,0.039667,0.019324,0.047305,0.007746,0.016785,0.009765,0.059686,0.000994,0.005186,0.016234,0.044272,0.004072,0.029159,0.026588,0.007329,0.333400,0.064114,0.043453,0.190084,0.002888,0.016668,3.232231,0.379547,0.286564,0.212557,0.290603,0.217521,0.155183,0.151608,0.163890,0.230457,0.212700,0.173179,0.135711,0.034519,0.018576,0.025508,0.005975,0.016829,0.008049,0.030369,0.000981,0.004496,0.011701,0.025081,0.005759,0.009634,door
0.047132,0.013773,3.026343,0.126926,0.179708,0.231494,0.006038,0.028594,-25.657062,2.759454,0.342064,0.697242,0.295534,0.028203,-0.063611,-0.059175,-0.013541,-0.071442,-0.232067,-0.141879,0.038565,0.064214,0.001625,0.047434,0.012359,0.020479,0.011582,0.057522,0.000833,0.004840,0.019404,0.035883,0.002646,0.031991,0.023469,0.011271,0.201523,0.023320,0.020839,0.150071,0.002179,0.025079,1.994128,0.492549,0.258674,0.224073,0.209900,0.163807,0.256745,0.207744,0.166069,0.150065,0.234756,0.177207,0.143037,0.065032,0.001669,0.028892,0.011636,0.014281,0.010816,0.040040,0.000929,0.005204,0.014690,0.020333,0.002770,0.011414,door
0.037951,0.005382,3.044510,0.110926,0.157123,0.256823,0.006265,0.036262,-27.189919,2.401324,0.251100,0.587812,0.464292,-0.119818,-0.091642,-0.011420,0.074706,-0.091048,-0.233838,0.098710,0.047349,0.040927,0.019023,0.047897,0.008955,0.017494,0.008684,0.057643,0.001110,0.005095,0.018248,0.042963,0.004126,0.029216,0.019319,0.007172,0.198911,0.053755,0.023332,0.163352,0.002432,0.017572,2.822378,0.309249,0.273864,0.218117,0.271117,0.225791,0.162074,0.159043,0.181601,0.215005,0.202775,0.178332,0.153503,0.031259,0.017882,0.026301,0.007595,0.016955,0.007045,0.034926,0.001245,0.004239,0.014731,0.021291,0.007059,0.009373,door
0.082225,0.004149,3.034111,0.157721,0.172524,0.795242,0.006018,0.120281,-27.814736,1.052644,0.351733,0.271040,0.103959,0.200461,-0.095503,-0.022302,-0.033971,0.258804,0.029316,-0.167131,-0.091742,0.027692,0.002519,0.056302,0.003926,0.009709,0.002912,0.134581,0.001717,0.004774,0.007115,0.019458,0.002580,0.043012,0.034875,0.006869,0.345311,0.027136,0.020147,0.394272,0.005874,0.067772,1.142676,0.530019,0.388291,0.260643,0.167708,0.185041,0.194367,0.157106,0.199061,0.190209,0.178009,0.149359,0.151813,0.043441,0.002360,0.041039,0.003981,0.007458,0.002705,0.101894,0.001604,0.004071,0.005202,0.012273,0.002802,0.025833,door
0.099703,0.001250,3.185670,0.161877,0.165026,1.056026,0.002213,0.146194,-28.512283,0.523794,0.450126,0.446580,0.355201,0.233001,-0.077526,-0.057982,0.120417,0.502467,0.066778,-0.159229,-0.120203,0.016243,0.002407,0.053936,0.003854,0.010831,0.002957,0.039962,0.005009,0.006501,0.008468,0.036139,0.002563,0.020816,0.020101,0.003362,0.168832,0.013835,0.010322,0.214732,0.000598,0.030067,0.672003,0.287708,0.207638,0.195344,0.170632,0.171634,0.166545,0.149437,0.142512,0.173469,0.170282,0.165359,0.131121,0.011460,0.001691,0.028947,0.002098,0.007522,0.001710,0.020916,0.003436,0.003607,0.005375,0.025466,0.001518,0.007077,door
0.025348,0.028832,2.772344,0.110036,0.174488,0.186132,0.020381,0.018149,-28.171525,1.735619,0.542852,0.492487,0.535254,0.075206,0.120220,0.053276,0.039917,0.108762,0.056330,0.067312,0.085545,0.024907,0.000323,0.065995,0.001445,0.012471,0.000804,0.240543,0.000259,0.001531,0.001867,0.048551,0.000488,0.073699,0.018818,0.045583,0.505512,0.034901,0.028108,0.202763,0.018317,0.029945,2.222361,0.675819,0.474510,0.264752,0.181450,0.293725,0.170688,0.184594,0.150709,0.205919,0.191400,0.170046,0.152064,0.039806,0.000348,0.048940,0.001322,0.013026,0.000804,0.109975,0.000251,0.003152,0.001205,0.055995,0.000461,0.022358,door
0.159364,0.003178,3.058146,0.233335,0.208290,1.179094,0.003651,0.262983,-30.465475,1.935409,0.230108,0.093379,0.095282,-0.026758,-0.063955,-0.128637,-0.112678,-0.059720,-0.061489,-0.019438,-0.094671,0.014165,0.002499,0.039497,0.013156,0.022811,0.012156,0.039699,0.001385,0.004634,0.019144,0.019380,0.003054,0.019800,0.054259,0.007420,0.204132,0.053631,0.026317,0.425548,0.002146,0.094798,2.641152,0.568065,0.359399,0.227132,0.212029,0.170343,0.198650,0.183433,0.192020,0.164858,0.172450,0.135226,0.155496,0.013670,0.002613,0.028367,0.011944,0.016724,0.011303,0.033541,0.000878,0.003575,0.018077,0.013328,0.002870,0.008775,door
0.155475,0.003256,3.048037,0.218357,0.193804,1.176393,0.003358,0.260904,-29.633086,1.919816,0.370931,0.086156,0.137212,0.013255,-0.020367,-0.062006,-0.096781,-0.075901,-0.065240,0.007406,-0.148898,0.016405,0.002084,0.034529,0.011796,0.024421,0.010049,0.033191,0.001198,0.003631,0.023476,0.018734,0.003220,0.016554,0.050218,0.007799,0.236800,0.041481,0.021764,0.351024,0.002473,0.076290,1.774018,0.555596,0.336451,0.230915,0.210995,0.140176,0.199370,0.190470,0.196434,0.152216,0.147970,0.140075,0.138558,0.016186,0.002101,0.018169,0.011194,0.015423,0.009409,0.020683,0.000955,0.002968,0.014050,0.011028,0.002767,0.005679,door
0.072490,0.013388,3.037804,0.160381,0.184707,0.330707,0.006745,0.076877,-26.758213,2.649341,0.335253,0.628215,0.242112,0.009723,-0.078763,-0.069428,-0.012755,-0.058062,-0.206164,-0.120554,0.028411,0.059466,0.001435,0.040643,0.014553,0.020393,0.010914,0.052615,0.000931,0.005771,0.015772,0.039608,0.002090,0.030539,0.100927,0.011441,0.197133,0.135781,0.035833,0.435140,0.005126,0.202916,5.225186,0.676406,0.252248,0.241846,0.208358,0.168634,0.285526,0.176906,0.176988,0.124865,0.234049,0.190400,0.131459,0.058497,0.001175,0.023745,0.012756,0.016592,0.012421,0.044302,0.001053,0.006610,0.013644,0.023017,0.001955,0.010474,door
