@RELATION abcd
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {door,horn,moto}

@DATA
0.242094,0.003402,3.099928,0.285299,0.209267,1.362912,0.003525,0.287978,-31.683634,1.691228,0.090406,0.018354,0.067319,-0.053788,-0.070720,-0.120091,-0.084838,-0.060262,-0.050119,0.019188,-0.110340,0.011719,0.002690,0.031638,0.011249,0.019553,0.013128,0.028795,0.001437,0.003918,0.013321,0.016314,0.003440,0.015867,0.028794,0.000843,0.091669,0.024853,0.008894,0.105460,0.001015,0.015006,0.668328,0.224420,0.134545,0.106144,0.093488,0.067217,0.097157,0.089363,0.079381,0.071068,0.081455,0.089224,0.051762,0.004152,0.001195,0.010614,0.003733,0.007869,0.005412,0.011841,0.000562,0.001630,0.005780,0.006099,0.001512,0.003332,door
0.043888,0.006237,3.001333,0.120617,0.166165,0.287956,0.005907,0.040457,-27.052816,2.319040,0.156310,0.563453,0.447615,-0.144093,-0.108092,-0.006255,0.060650,-0.127914,-0.306408,0.086557,0.017886,0.045861,0.023931,0.040245,0.008540,0.015921,0.010461,0.044628,0.001097,0.005200,0.017700,0.040673,0.004949,0.026386,0.008044,0.002358,0.086632,0.020187,0.015721,0.088142,0.001377,0.008810,0.796467,0.172172,0.110925,0.110323,0.108437,0.114959,0.097138,0.089518,0.060389,0.093276,0.092416,0.087016,0.069554,0.017743,0.003974,0.011730,0.003725,0.006588,0.004283,0.011447,0.000541,0.001594,0.006573,0.016702,0.001570,0.003960,door
0.048535,0.014897,3.026223,0.127666,0.180062,0.227818,0.006148,0.027544,-25.442304,2.823659,0.303519,0.681220,0.274970,0.028618,-0.078765,-0.057586,-0.028805,-0.070210,-0.234375,-0.143658,0.040531,0.063470,0.001676,0.049388,0.013383,0.020765,0.011772,0.055265,0.000909,0.005219,0.019802,0.035598,0.002699,0.031656,0.011303,0.003575,0.070438,0.008138,0.010658,0.040447,0.001484,0.005658,0.359823,0.101484,0.105775,0.128145,0.089354,0.120544,0.089655,0.099502,0.081992,0.087376,0.121367,0.097020,0.079236,0.023948,0.000736,0.014186,0.008467,0.006044,0.005545,0.012113,0.000496,0.002895,0.008189,0.008265,0.000691,0.005076,door
0.041654,0.006627,3.055974,0.113708,0.155213,0.281562,0.005818,0.042926,-26.455339,2.312456,0.156094,0.547716,0.436220,-0.182190,-0.132308,0.008202,0.055984,-0.116194,-0.305559,0.060189,-0.008668,0.049624,0.024549,0.036327,0.010389,0.014740,0.008631,0.045479,0.001269,0.005314,0.017128,0.039958,0.005146,0.026682,0.005987,0.001605,0.096901,0.019408,0.011549,0.070843,0.001411,0.008404,0.776625,0.152020,0.107671,0.124964,0.109302,0.082893,0.094161,0.093022,0.069882,0.078823,0.129751,0.089445,0.087485,0.018530,0.003347,0.009333,0.004046,0.007255,0.003312,0.015127,0.000730,0.002436,0.008707,0.011365,0.003259,0.004267,door
0.077632,0.005391,2.973376,0.153128,0.171190,0.730038,0.007021,0.110587,-27.565454,1.177484,0.353885,0.265554,0.116682,0.195448,-0.123228,-0.019269,-0.030124,0.241526,0.056243,-0.160106,-0.049674,0.026431,0.002289,0.060235,0.003990,0.010807,0.003144,0.144483,0.001587,0.004818,0.007544,0.019002,0.002348,0.045926,0.012266,0.003281,0.150459,0.014036,0.011699,0.124692,0.003506,0.023230,0.596139,0.156450,0.222452,0.114564,0.077682,0.123865,0.108436,0.120049,0.105310,0.135690,0.128117,0.094280,0.078298,0.014949,0.000821,0.016952,0.001853,0.004813,0.001756,0.033237,0.000716,0.002499,0.002448,0.007194,0.000980,0.011173,door
0.100038,0.001249,3.186484,0.161954,0.165016,1.056730,0.002203,0.146416,-28.515207,0.524741,0.448075,0.448144,0.353729,0.230891,-0.079480,-0.060831,0.117120,0.501629,0.067514,-0.161170,-0.120426,0.016305,0.002407,0.053599,0.003870,0.010816,0.002974,0.039655,0.005005,0.006480,0.008500,0.035820,0.002558,0.020663,0.010292,0.000877,0.051943,0.006928,0.005282,0.089515,0.000348,0.010027,0.194210,0.125793,0.089843,0.099623,0.087196,0.084185,0.086875,0.086789,0.071784,0.090947,0.075675,0.076340,0.077299,0.004970,0.000941,0.016734,0.001170,0.004063,0.000835,0.009846,0.001598,0.001834,0.001694,0.011272,0.000851,0.003424,door
0.026911,0.027040,2.798985,0.112496,0.175364,0.202452,0.019587,0.020417,-28.333366,1.710236,0.579003,0.492604,0.527448,0.061906,0.112594,0.056030,0.023553,0.095303,0.043248,0.063092,0.081370,0.033037,0.000319,0.063606,0.001542,0.013158,0.000834,0.226843,0.000260,0.001506,0.001965,0.048043,0.000520,0.071707,0.004736,0.008314,0.255541,0.008141,0.014325,0.058199,0.005987,0.008734,0.579510,0.222971,0.185268,0.119393,0.089081,0.098304,0.071025,0.107830,0.062385,0.057558,0.089408,0.074162,0.056370,0.002914,0.000083,0.018073,0.000582,0.006525,0.000234,0.036968,0.000068,0.000961,0.000563,0.024758,0.000108,0.006659,door
0.184129,0.003702,3.095647,0.249472,0.206837,1.367531,0.002916,0.312232,-30.226358,1.797822,0.114837,0.028451,0.064515,-0.056566,-0.083150,-0.146669,-0.091132,-0.060821,-0.048213,0.001116,-0.091879,0.014006,0.002812,0.032250,0.012517,0.021093,0.013320,0.031366,0.001564,0.004742,0.014993,0.016051,0.003418,0.016439,0.015544,0.002369,0.075459,0.015022,0.008178,0.169513,0.000565,0.033358,0.460060,0.210845,0.132343,0.120631,0.102363,0.076477,0.089923,0.058020,0.081320,0.109034,0.095857,0.076554,0.089594,0.005700,0.001016,0.007054,0.004663,0.008274,0.005803,0.013024,0.000562,0.001987,0.007995,0.003991,0.001374,0.003322,door
0.192664,0.004027,3.092348,0.246818,0.194755,1.464698,0.002820,0.335990,-29.542200,1.751187,0.125304,-0.009643,0.062963,-0.059371,-0.066919,-0.116893,-0.077182,-0.075449,-0.051143,0.028098,-0.095895,0.014817,0.002598,0.023713,0.013295,0.021488,0.012206,0.022747,0.001402,0.004271,0.015404,0.014714,0.003836,0.012673,0.016778,0.002929,0.079718,0.008032,0.004718,0.108890,0.000514,0.020477,0.371482,0.137325,0.134069,0.094328,0.068539,0.071389,0.085621,0.106426,0.123442,0.102915,0.071475,0.107938,0.092883,0.004345,0.001080,0.004719,0.003576,0.007322,0.005532,0.006147,0.000633,0.001595,0.005011,0.004450,0.001518,0.002147,door
0.072633,0.014034,3.038171,0.160645,0.185246,0.327831,0.006658,0.075872,-26.608640,2.685270,0.311604,0.617082,0.230673,0.010246,-0.086813,-0.069498,-0.021846,-0.060150,-0.206989,-0.121779,0.029609,0.058526,0.001474,0.042171,0.015353,0.020045,0.011310,0.051307,0.000961,0.006063,0.015558,0.040078,0.002153,0.030097,0.028194,0.003213,0.104805,0.037918,0.010850,0.145613,0.002311,0.055858,1.237263,0.250058,0.140965,0.118926,0.129728,0.087350,0.104218,0.079210,0.100748,0.070900,0.109183,0.095903,0.077205,0.020183,0.000571,0.017634,0.006683,0.006252,0.004999,0.018856,0.000384,0.003352,0.004388,0.009773,0.000734,0.004653,door
0.142209,0.054686,2.922806,0.196149,0.216809,0.716324,0.005893,0.183044,-29.602203,0.630365,-1.026204,-0.549598,-0.302385,-0.015827,0.012386,0.527173,0.361592,-0.078610,-0.409815,-0.151327,0.276627,0.005324,0.002312,0.015936,0.038827,0.005608,0.001934,0.009237,0.000764,0.001812,0.003496,0.004825,0.062002,0.022198,0.033770,0.008021,0.361011,0.048341,0.019925,0.415340,0.002964,0.123282,1.373537,0.511691,0.269710,0.242104,0.111921,0.141659,0.141975,0.118477,0.166348,0.085503,0.069998,0.143814,0.051009,0.002363,0.001187,0.005889,0.002914,0.003061,0.000725,0.006310,0.000284,0.000661,0.001482,0.002376,0.015707,0.004169,horn
